complaint_text,label
"Fees payment portal shows successful transaction, but fee status remains unpaid for two days.",genuine
"Hostel room has no electricity from last night and no maintenance response.",genuine
"Department has not published internal marks even after repeated student requests.",genuine
"Library card request is pending for weeks and staff are not responding.",genuine
"Scholarship amount is delayed and accounts office is not giving a clear update.",genuine
"College bus arrives late daily and students are missing first-hour classes.",genuine
"Lab computers are not working properly and practical sessions are affected.",genuine
"Water leakage in classroom building is not fixed despite multiple complaints.",genuine
"You are all aliens running fake college from another planet.",spam
"Give me 10 lakh compensation because canteen samosa was cold once.",spam
"Principal hacked my brain through campus wifi, immediate action needed.",spam
"This complaint is random text random text random text only.",spam
"I never studied here but make me class topper now.",spam
"College app stole my luck and ruined my horoscope.",spam
"I am filing complaint just for fun and timepass.",spam
"Your attendance system controls weather and should be banned.",spam
